frame_id,active_tracks,avg_speed,density,congested,fps
1,4,0.0,4e-06,True,0.0
2,4,2.732,4e-06,True,8.69
3,4,2.739,4e-06,True,10.6
4,4,2.839,4e-06,True,11.72
5,5,2.209,5e-06,True,17.55
6,6,1.731,7e-06,True,16.65
7,6,1.986,7e-06,True,19.81
8,6,1.959,7e-06,True,19.95
9,6,2.017,7e-06,True,18.69
10,4,2.338,4e-06,True,19.58
11,5,1.889,5e-06,True,19.08
12,5,1.898,5e-06,True,20.08
13,6,1.556,7e-06,True,20.16
14,7,1.768,8e-06,True,19.83
15,7,1.748,8e-06,True,18.6
16,6,2.006,7e-06,True,19.6
17,6,2.03,7e-06,True,20.16
18,6,1.995,7e-06,True,17.5
19,5,2.425,5e-06,True,19.73
20,5,2.49,5e-06,True,18.79
21,5,2.523,5e-06,True,19.35
22,5,2.472,5e-06,True,19.54
23,5,2.401,5e-06,True,19.61
24,4,2.522,4e-06,True,19.61
25,4,2.626,4e-06,True,16.27
26,4,2.673,4e-06,True,17.81
27,4,2.649,4e-06,True,19.73
28,4,2.758,4e-06,True,19.72
29,4,2.739,4e-06,True,19.61
30,4,2.828,4e-06,True,19.81
31,4,2.756,4e-06,True,19.63
32,4,2.728,4e-06,True,18.97
33,4,2.909,4e-06,True,17.37
34,4,2.902,4e-06,True,17.23
35,4,2.86,4e-06,True,20.07
36,4,2.893,4e-06,True,20.09
37,4,2.862,4e-06,True,19.8
38,4,2.85,4e-06,True,18.63
39,4,2.85,4e-06,True,20.19
40,4,2.873,4e-06,True,20.32
41,6,1.949,7e-06,True,19.16
42,6,1.965,7e-06,True,19.74
43,6,1.956,7e-06,True,19.36
44,6,1.971,7e-06,True,19.9
45,6,1.608,7e-06,True,20.12
46,6,1.62,7e-06,True,19.57
47,7,1.679,8e-06,True,18.35
48,7,1.9,8e-06,True,19.25
49,7,1.908,8e-06,True,19.26
50,7,1.95,8e-06,True,19.31
51,7,1.938,8e-06,True,19.47
52,7,1.952,8e-06,True,19.42
53,5,2.493,5e-06,True,19.65
54,5,2.536,5e-06,True,18.5
55,5,1.973,5e-06,True,18.99
56,5,1.961,5e-06,True,19.25
57,6,1.678,7e-06,True,16.6
58,6,2.19,7e-06,True,18.92
59,6,2.276,7e-06,True,19.28
60,7,1.873,8e-06,True,19.45
61,7,1.837,8e-06,True,19.47
62,6,1.41,7e-06,True,19.37
63,7,1.482,8e-06,True,4.66
64,7,1.495,8e-06,True,17.5
65,7,1.028,8e-06,True,19.15
66,7,1.011,8e-06,True,18.08
67,6,1.086,7e-06,True,18.81
68,5,1.097,5e-06,True,18.05
69,5,1.979,5e-06,True,18.4
70,6,1.649,7e-06,True,19.31
71,8,1.125,9e-06,True,18.86
72,8,2.824,9e-06,True,18.19
73,8,1.72,9e-06,True,18.77
74,7,1.574,8e-06,True,18.5
75,5,1.391,5e-06,True,18.39
76,7,0.982,8e-06,True,18.45
77,8,1.046,9e-06,True,18.31
78,8,1.54,9e-06,True,18.46
