frame_id,active_tracks,avg_speed,density,congested,fps
1,7,0.0,3e-06,False,0.0
2,7,1.186,3e-06,False,8.14
3,7,1.709,3e-06,False,11.59
4,8,1.443,4e-06,False,10.39
5,10,1.551,5e-06,False,15.35
6,9,1.68,4e-06,False,12.33
7,10,1.763,5e-06,False,15.15
8,9,2.012,4e-06,False,14.63
9,9,1.929,4e-06,True,15.33
10,10,1.662,5e-06,True,16.81
11,10,1.701,5e-06,True,17.72
12,9,1.925,4e-06,True,15.19
13,9,1.984,4e-06,True,14.19
14,9,1.987,4e-06,True,12.29
15,9,1.972,4e-06,True,11.51
16,9,2.098,4e-06,True,11.44
17,9,2.161,4e-06,True,7.87
18,8,1.961,4e-06,True,2.76
19,8,1.911,4e-06,True,7.05
20,9,1.768,4e-06,True,10.38
21,8,1.987,4e-06,True,15.12
22,8,1.829,4e-06,True,17.46
23,8,1.734,4e-06,False,16.18
24,9,1.568,4e-06,False,16.65
25,9,1.555,4e-06,False,14.87
26,9,1.473,4e-06,False,15.46
27,8,1.236,4e-06,False,15.58
28,8,1.331,4e-06,False,16.53
29,7,1.664,3e-06,False,14.43
30,7,1.607,3e-06,False,13.73
31,8,1.365,4e-06,False,16.07
32,9,1.253,4e-06,False,14.64
33,9,1.69,4e-06,False,14.79
34,9,1.725,4e-06,False,16.06
35,10,1.382,5e-06,False,17.07
36,10,1.428,5e-06,False,17.04
37,10,1.418,5e-06,True,18.86
38,9,1.518,4e-06,True,19.05
39,9,1.501,4e-06,True,18.55
40,7,1.644,3e-06,True,18.26
41,7,1.631,3e-06,True,18.73
42,7,1.759,3e-06,True,17.71
43,7,1.774,3e-06,True,17.66
44,7,1.745,3e-06,False,16.19
45,8,1.462,4e-06,False,17.8
46,9,1.33,4e-06,False,17.76
47,8,1.072,4e-06,False,15.9
48,7,1.247,3e-06,False,15.78
49,7,1.313,3e-06,False,14.29
50,7,1.289,3e-06,False,17.15
51,8,1.072,4e-06,False,17.78
52,9,1.086,4e-06,False,17.09
53,10,0.984,5e-06,False,16.71
54,9,0.523,4e-06,False,16.69
55,9,0.567,4e-06,False,16.13
56,8,0.646,4e-06,False,15.55
57,7,0.667,3e-06,False,15.1
58,7,0.567,3e-06,False,16.07
59,9,0.423,4e-06,False,16.3
60,8,1.197,4e-06,False,16.38
61,8,1.287,4e-06,False,14.81
62,8,1.315,4e-06,False,15.96
63,8,1.039,4e-06,False,14.96
64,8,1.155,4e-06,False,18.57
65,8,1.199,4e-06,False,17.17
66,8,1.17,4e-06,False,17.65
67,9,1.045,4e-06,False,17.75
68,9,1.193,4e-06,False,17.12
69,9,1.136,4e-06,False,15.74
70,9,1.135,4e-06,False,14.33
71,9,1.159,4e-06,False,15.85
72,9,1.126,4e-06,True,14.09
73,9,1.116,4e-06,True,10.9
74,5,0.329,2e-06,True,5.06
75,5,0.325,2e-06,True,10.83
76,5,0.198,2e-06,True,12.26
77,5,0.173,2e-06,True,15.06
78,7,0.108,3e-06,False,15.76
79,7,0.642,3e-06,False,15.44
80,8,0.583,4e-06,False,12.5
81,8,0.527,4e-06,False,12.75
82,9,0.43,4e-06,False,14.2
83,8,0.581,4e-06,False,14.3
84,7,0.979,3e-06,False,15.04
85,9,0.761,4e-06,False,2.22
86,8,1.153,4e-06,False,11.04
87,8,1.129,4e-06,False,11.64
88,7,0.953,3e-06,False,10.51
89,8,0.775,4e-06,False,8.21
90,7,1.813,3e-06,False,9.26
91,6,1.557,3e-06,False,12.98
92,8,1.029,4e-06,False,11.25
93,8,0.955,4e-06,False,13.48
94,8,0.905,4e-06,False,15.49
95,8,0.859,4e-06,False,15.86
96,8,0.934,4e-06,False,17.07
97,7,1.091,3e-06,False,16.93
98,7,1.078,3e-06,False,17.03
99,7,1.53,3e-06,False,16.75
100,9,1.202,4e-06,False,16.15
101,9,1.471,4e-06,False,15.99
102,9,1.5,4e-06,False,16.6
103,9,1.732,4e-06,False,16.48
104,9,1.488,4e-06,False,16.61
105,9,1.426,4e-06,True,16.56
106,9,1.291,4e-06,True,16.28
107,10,1.268,5e-06,True,16.16
108,9,1.207,4e-06,True,12.43
109,10,1.104,5e-06,True,15.79
110,10,0.965,5e-06,True,16.04
111,9,1.244,4e-06,True,15.75
112,10,0.967,5e-06,True,15.83
113,9,0.993,4e-06,True,15.22
114,10,0.934,5e-06,True,15.72
115,10,0.948,5e-06,True,15.46
116,10,0.9,5e-06,True,15.37
117,9,1.388,4e-06,True,15.22
118,8,1.644,4e-06,True,14.04
119,7,1.809,3e-06,True,15.08
120,7,1.691,3e-06,True,4.97
121,7,1.625,3e-06,True,15.45
122,7,1.554,3e-06,False,15.08
123,8,1.31,4e-06,False,15.62
124,8,1.549,4e-06,False,15.71
125,9,1.372,4e-06,False,14.63
126,9,1.307,4e-06,False,14.92
127,9,1.306,4e-06,False,15.22
128,9,1.278,4e-06,False,13.13
129,10,1.146,5e-06,False,15.28
130,10,1.165,5e-06,True,15.63
131,10,1.177,5e-06,True,15.19
132,10,1.103,5e-06,True,14.37
133,10,1.148,5e-06,True,14.03
134,10,1.126,5e-06,True,14.97
135,9,1.253,4e-06,True,14.89
136,9,1.247,4e-06,True,14.85
137,8,1.384,4e-06,True,14.21
138,8,1.474,4e-06,True,14.76
139,8,1.491,4e-06,True,15.12
140,7,1.602,3e-06,True,14.33
141,7,1.569,3e-06,False,14.45
142,6,1.668,3e-06,False,14.6
143,6,1.682,3e-06,False,14.19
144,7,1.41,3e-06,False,14.8
145,7,1.455,3e-06,False,14.34
146,7,1.519,3e-06,False,14.54
147,7,1.545,3e-06,False,14.2
148,7,1.454,3e-06,False,13.67
149,7,1.455,3e-06,False,14.07
150,8,1.166,4e-06,False,14.46
151,9,0.997,4e-06,False,14.65
152,9,0.974,4e-06,False,14.76
153,9,1.029,4e-06,False,14.23
154,10,0.923,5e-06,False,14.95
155,9,2.274,4e-06,False,14.57
156,9,2.271,4e-06,True,14.61
157,9,2.3,4e-06,True,12.31
158,10,2.285,5e-06,True,14.04
159,10,2.256,5e-06,True,14.17
160,9,1.063,4e-06,True,14.56
161,9,1.099,4e-06,True,13.94
162,7,1.346,3e-06,True,14.25
163,6,1.523,3e-06,True,14.24
164,6,1.331,3e-06,True,13.87
165,6,1.527,3e-06,True,12.92
166,6,1.654,3e-06,False,14.06
167,6,1.61,3e-06,False,14.42
168,6,1.522,3e-06,False,13.07
169,5,1.34,2e-06,False,13.51
170,7,0.972,3e-06,False,14.51
171,7,0.877,3e-06,False,14.04
172,7,0.847,3e-06,False,14.17
173,7,0.838,3e-06,False,13.67
174,7,0.797,3e-06,False,13.63
175,6,2.086,3e-06,False,13.54
176,6,2.123,3e-06,False,13.26
177,7,2.09,3e-06,False,14.05
178,6,2.488,3e-06,False,14.08
179,6,2.405,3e-06,False,13.85
180,6,2.386,3e-06,False,13.63
181,6,2.34,3e-06,False,14.19
182,6,0.991,3e-06,False,13.77
183,6,1.048,3e-06,False,12.66
184,7,1.026,3e-06,False,13.82
185,8,0.962,4e-06,False,13.95
186,9,0.914,4e-06,False,13.5
187,9,1.582,4e-06,False,13.34
188,8,1.734,4e-06,False,12.81
189,8,1.642,4e-06,False,13.22
190,8,1.698,4e-06,False,13.21
191,7,1.919,3e-06,False,13.31
192,8,1.611,4e-06,False,12.9
