frame_id,active_tracks,avg_speed,density,congested,fps
1,7,0.0,3e-06,True,0.0
2,7,1.186,3e-06,True,11.3
3,7,1.709,3e-06,True,12.49
4,8,1.443,4e-06,True,18.4
5,10,1.551,5e-06,True,19.71
6,9,1.68,4e-06,True,20.59
7,10,1.763,5e-06,True,16.88
8,9,2.012,4e-06,True,18.24
9,9,1.929,4e-06,True,19.24
10,10,1.662,5e-06,True,19.67
11,10,1.701,5e-06,True,18.65
12,9,1.925,4e-06,True,18.21
13,9,1.984,4e-06,True,17.21
14,9,1.987,4e-06,True,17.06
15,9,1.972,4e-06,True,15.9
16,9,2.098,4e-06,True,17.62
17,9,2.161,4e-06,True,12.37
18,8,1.961,4e-06,True,11.33
19,8,1.911,4e-06,True,14.68
20,9,1.768,4e-06,True,17.36
21,8,1.987,4e-06,True,16.22
22,8,1.829,4e-06,True,16.02
23,8,1.734,4e-06,True,16.92
24,9,1.568,4e-06,True,16.53
25,9,1.555,4e-06,True,16.01
26,9,1.473,4e-06,True,17.44
27,8,1.236,4e-06,True,17.12
28,8,1.331,4e-06,True,17.31
29,7,1.664,3e-06,True,19.33
30,7,1.607,3e-06,True,18.47
31,8,1.365,4e-06,True,17.9
32,9,1.253,4e-06,True,15.98
33,9,1.69,4e-06,True,19.48
34,9,1.725,4e-06,True,18.55
35,10,1.382,5e-06,True,18.78
36,10,1.428,5e-06,True,18.93
37,10,1.418,5e-06,True,19.04
38,9,1.518,4e-06,True,19.07
39,9,1.501,4e-06,True,18.35
40,7,1.644,3e-06,True,18.97
41,7,1.631,3e-06,True,18.81
42,7,1.759,3e-06,True,18.87
43,7,1.774,3e-06,True,18.75
44,7,1.745,3e-06,True,18.67
45,8,1.462,4e-06,True,17.86
46,9,1.33,4e-06,True,19.29
47,8,1.072,4e-06,True,18.75
48,7,1.247,3e-06,True,18.92
49,7,1.313,3e-06,True,18.85
50,7,1.289,3e-06,True,17.76
51,8,1.072,4e-06,True,18.63
52,9,1.086,4e-06,True,18.34
53,10,0.984,5e-06,True,18.85
54,9,0.523,4e-06,True,18.97
55,9,0.567,4e-06,True,18.57
56,8,0.646,4e-06,True,17.66
57,7,0.667,3e-06,True,17.37
58,7,0.567,3e-06,True,16.06
59,9,0.423,4e-06,True,16.74
60,8,1.197,4e-06,True,17.9
61,8,1.287,4e-06,True,18.2
62,8,1.315,4e-06,True,19.04
63,8,1.039,4e-06,True,17.97
64,8,1.155,4e-06,True,18.3
65,8,1.199,4e-06,True,18.4
66,8,1.17,4e-06,True,18.6
67,9,1.045,4e-06,True,14.88
68,9,1.193,4e-06,True,18.27
69,9,1.136,4e-06,True,18.1
70,9,1.135,4e-06,True,18.19
71,9,1.159,4e-06,True,17.48
72,9,1.126,4e-06,True,18.24
73,9,1.116,4e-06,True,18.3
74,5,0.329,2e-06,True,17.88
75,5,0.325,2e-06,True,18.33
76,5,0.198,2e-06,True,17.97
77,5,0.173,2e-06,True,18.12
78,7,0.108,3e-06,True,18.04
79,7,0.642,3e-06,True,18.5
80,8,0.583,4e-06,True,18.37
81,8,0.527,4e-06,True,17.57
82,9,0.43,4e-06,True,18.04
83,8,0.581,4e-06,True,17.36
84,7,0.979,3e-06,True,17.73
85,9,0.761,4e-06,True,17.97
86,8,1.153,4e-06,True,18.32
87,8,1.129,4e-06,True,18.19
88,7,0.953,3e-06,True,18.02
89,8,0.775,4e-06,True,18.1
90,7,1.813,3e-06,True,17.82
91,6,1.557,3e-06,True,17.59
92,8,1.029,4e-06,True,16.92
93,8,0.955,4e-06,True,17.94
94,8,0.905,4e-06,True,17.65
95,8,0.859,4e-06,True,17.59
96,8,0.934,4e-06,True,17.28
97,7,1.091,3e-06,True,17.95
98,7,1.078,3e-06,True,17.88
99,7,1.53,3e-06,True,17.67
100,9,1.202,4e-06,True,17.35
101,9,1.471,4e-06,True,16.7
102,9,1.5,4e-06,True,17.31
103,9,1.732,4e-06,True,16.98
104,9,1.488,4e-06,True,16.89
105,9,1.426,4e-06,True,16.32
106,9,1.291,4e-06,True,15.37
107,10,1.268,5e-06,True,14.65
108,9,1.207,4e-06,True,16.7
109,10,1.104,5e-06,True,16.96
110,10,0.965,5e-06,True,10.62
111,9,1.244,4e-06,True,9.63
112,10,0.967,5e-06,True,15.78
113,9,0.993,4e-06,True,16.17
114,10,0.934,5e-06,True,16.66
115,10,0.948,5e-06,True,16.64
116,10,0.9,5e-06,True,15.4
117,9,1.388,4e-06,True,15.71
118,8,1.644,4e-06,True,16.82
119,7,1.809,3e-06,True,16.64
120,7,1.691,3e-06,True,15.87
121,7,1.625,3e-06,True,16.58
122,7,1.554,3e-06,True,16.65
123,8,1.31,4e-06,True,16.88
124,8,1.549,4e-06,True,14.5
125,9,1.372,4e-06,True,13.61
126,9,1.307,4e-06,True,13.27
127,9,1.306,4e-06,True,13.55
128,9,1.278,4e-06,True,14.7
129,10,1.146,5e-06,True,16.03
130,10,1.165,5e-06,True,15.8
131,10,1.177,5e-06,True,15.94
132,10,1.103,5e-06,True,12.51
133,10,1.148,5e-06,True,12.53
134,10,1.126,5e-06,True,15.52
135,9,1.253,4e-06,True,16.41
136,9,1.247,4e-06,True,14.89
137,8,1.384,4e-06,True,15.55
138,8,1.474,4e-06,True,15.71
139,8,1.491,4e-06,True,15.81
140,7,1.602,3e-06,True,15.57
141,7,1.569,3e-06,True,15.71
142,6,1.668,3e-06,True,15.87
143,6,1.682,3e-06,True,15.02
144,7,1.41,3e-06,True,15.48
145,7,1.455,3e-06,True,15.69
146,7,1.519,3e-06,True,15.83
147,7,1.545,3e-06,True,15.13
148,7,1.454,3e-06,True,15.77
149,7,1.455,3e-06,True,15.75
150,8,1.166,4e-06,True,15.49
151,9,0.997,4e-06,True,15.34
152,9,0.974,4e-06,True,15.91
153,9,1.029,4e-06,True,15.31
154,10,0.923,5e-06,True,15.02
155,9,2.274,4e-06,True,15.66
156,9,2.271,4e-06,True,15.94
157,9,2.3,4e-06,True,15.17
158,10,2.285,5e-06,True,15.41
159,10,2.256,5e-06,True,15.15
160,9,1.063,4e-06,True,15.55
161,9,1.099,4e-06,True,13.44
162,7,1.346,3e-06,True,15.27
163,6,1.523,3e-06,True,13.67
164,6,1.331,3e-06,True,15.06
165,6,1.527,3e-06,True,14.73
166,6,1.654,3e-06,True,14.33
167,6,1.61,3e-06,False,12.95
168,6,1.522,3e-06,False,12.55
169,5,1.34,2e-06,False,13.83
170,7,0.972,3e-06,False,14.96
171,7,0.877,3e-06,False,14.99
172,7,0.847,3e-06,False,15.1
173,7,0.838,3e-06,False,14.8
174,7,0.797,3e-06,False,14.65
175,6,2.086,3e-06,False,12.74
176,6,2.123,3e-06,False,12.4
177,7,2.09,3e-06,True,13.01
178,6,2.488,3e-06,True,13.41
179,6,2.405,3e-06,True,14.14
180,6,2.386,3e-06,False,14.94
181,6,2.34,3e-06,False,14.81
182,6,0.991,3e-06,False,14.5
183,6,1.048,3e-06,False,14.25
184,7,1.026,3e-06,False,13.42
185,8,0.962,4e-06,False,13.02
186,9,0.914,4e-06,False,14.56
187,9,1.582,4e-06,False,8.06
188,8,1.734,4e-06,False,10.24
189,8,1.642,4e-06,True,10.95
190,8,1.698,4e-06,True,13.7
191,7,1.919,3e-06,True,14.42
192,8,1.611,4e-06,True,14.7
193,8,1.565,4e-06,True,14.57
194,8,1.58,4e-06,True,14.23
195,8,1.6,4e-06,True,4.84
196,8,1.598,4e-06,True,11.7
197,7,1.917,3e-06,True,14.48
198,7,1.927,3e-06,True,14.68
199,7,1.835,3e-06,True,13.77
200,6,1.071,3e-06,True,13.65
201,6,1.075,3e-06,True,14.09
202,5,1.284,2e-06,True,14.58
203,7,0.925,3e-06,True,14.43
204,6,0.774,3e-06,True,14.86
205,6,0.768,3e-06,False,14.29
206,6,0.771,3e-06,False,14.7
207,6,0.812,3e-06,False,14.2
208,6,0.873,3e-06,False,14.04
209,6,1.429,3e-06,False,12.85
210,6,1.523,3e-06,False,14.07
211,6,1.504,3e-06,False,13.7
212,6,1.446,3e-06,False,12.71
213,5,1.84,2e-06,False,13.26
214,4,1.391,2e-06,False,14.36
215,4,1.289,2e-06,False,14.82
